,fips,County,Year,Citizens,State
382,12039,Gadsden County,2007,46925,Florida
383,12041,Gilchrist County,2007,16187,Florida
384,12043,Glades County,2007,12176,Florida
385,12045,Gulf County,2007,15467,Florida
386,12047,Hamilton County,2007,14355,Florida
387,12049,Hardee County,2007,27467,Florida
388,12051,Hendry County,2007,38255,Florida
389,12053,Hernando County,2007,160182,Florida
390,12055,Highlands County,2007,95367,Florida
391,12057,Hillsborough County,2007,1160122,Florida
392,12059,Holmes County,2007,19516,Florida
393,12061,Indian River County,2007,130482,Florida
394,12063,Jackson County,2007,48867,Florida
395,12065,Jefferson County,2007,14194,Florida
396,12067,Lafayette County,2007,8314,Florida
397,12069,Lake County,2007,271061,Florida
398,12071,Lee County,2007,565400,Florida
399,12073,Leon County,2007,264691,Florida
400,12075,Levy County,2007,38895,Florida
401,12077,Liberty County,2007,7958,Florida
402,12079,Madison County,2007,19077,Florida
403,12081,Manatee County,2007,305214,Florida
404,12083,Marion County,2007,309571,Florida
405,12085,Martin County,2007,140829,Florida
406,12086,Miami-Dade County,2007,2424747,Florida
407,12087,Monroe County,2007,75043,Florida
408,12089,Nassau County,2007,68610,Florida
409,12091,Okaloosa County,2007,177733,Florida
410,12093,Okeechobee County,2007,38757,Florida
411,12095,Orange County,2007,1071004,Florida
412,12097,Osceola County,2007,239834,Florida
413,12099,Palm Beach County,2007,1263451,Florida
414,12101,Pasco County,2007,428716,Florida
415,12103,Pinellas County,2007,918212,Florida
416,12105,Polk County,2007,566635,Florida
417,12107,Putnam County,2007,73183,Florida
418,12109,St. Johns County,2007,169994,Florida
419,12111,St. Lucie County,2007,251882,Florida
420,12113,Santa Rosa County,2007,141285,Florida
421,12115,Sarasota County,2007,363405,Florida
422,12117,Seminole County,2007,405533,Florida
423,12119,Sumter County,2007,81395,Florida
424,12121,Suwannee County,2007,39552,Florida
425,12123,Taylor County,2007,21575,Florida
426,12125,Union County,2007,14902,Florida
427,12127,Volusia County,2007,479232,Florida
428,12129,Wakulla County,2007,28405,Florida
429,12131,Walton County,2007,50698,Florida
430,12133,Washington County,2007,23719,Florida
432,48001,Anderson County,2007,57455,Texas
433,48003,Andrews County,2007,14250,Texas
434,48005,Angelina County,2007,84776,Texas
435,48007,Aransas County,2007,22947,Texas
436,48009,Archer County,2007,9009,Texas
437,48011,Armstrong County,2007,1976,Texas
438,48013,Atascosa County,2007,43006,Texas
439,48015,Austin County,2007,26964,Texas
440,48017,Bailey County,2007,6993,Texas
441,48019,Bandera County,2007,19619,Texas
442,48021,Bastrop County,2007,69252,Texas
443,48023,Baylor County,2007,3835,Texas
444,48025,Bee County,2007,32006,Texas
445,48027,Bell County,2007,288511,Texas
446,48029,Bexar County,2007,1618250,Texas
