Year,State Population,County Name,State Abbreviation,County Population,BUYER_MME
2006,17675777,ST. JOHNS,FL,163317,43666.08352572504
2006,17675777,ST. LUCIE,FL,243427,95970.45342936304
2006,17675777,SANTA ROSA,FL,137924,44111.67851095005
2006,17675777,SARASOTA,FL,358060,186351.13329227694
2006,17675777,SEMINOLE,FL,399804,134735.66849281418
2006,17675777,SUMTER,FL,77385,12822.867205000015
2006,17675777,SUWANNEE,FL,38883,9345.596314950006
2006,17675777,TAYLOR,FL,21245,5544.28480749999
2006,17675777,UNION,FL,14694,2453.7138810000006
2006,17675777,VOLUSIA,FL,474111,166518.40532765217
2006,17675777,WAKULLA,FL,27615,5464.253893999995
2006,17675777,WALTON,FL,49249,22041.41405562502
2006,17675777,WASHINGTON,FL,23327,7659.0319009999985
2007,17957978,ALACHUA,FL,238523,95259.627976788
2007,17957978,BAKER,FL,25657,13793.788183225011
2007,17957978,BAY,FL,162676,61255.85799926284
2007,17957978,BRADFORD,FL,27790,15854.865475125016
2007,17957978,BREVARD,FL,523248,246505.6839382409
2007,17957978,BROWARD,FL,1710593,1720337.481721523
2007,17957978,CALHOUN,FL,14136,2021.5322534999993
2007,17957978,CHARLOTTE,FL,154458,103366.66686720062
2007,17957978,CITRUS,FL,134290,58420.50957311264
2007,17957978,CLAY,FL,175844,85815.94069482553
2007,17957978,COLLIER,FL,300489,129910.31275692614
2007,17957978,COLUMBIA,FL,64190,30011.436168012526
2007,17957978,DESOTO,FL,34066,7726.090771792501
2007,17957978,DIXIE,FL,15620,3098.699741362499
2007,17957978,DUVAL,FL,838655,344954.3654414952
2007,17957978,ESCAMBIA,FL,296655,113832.92120252833
2007,17957978,FLAGLER,FL,81934,24313.087587762537
2007,17957978,FRANKLIN,FL,11031,2099.0765175
2007,17957978,GADSDEN,FL,46928,7138.511467499996
2007,17957978,GILCHRIST,FL,16186,4195.956289499998
2007,17957978,GLADES,FL,12176,0.0
2007,17957978,GULF,FL,15465,3813.9477659999993
2007,17957978,HAMILTON,FL,14357,2249.3530935
2007,17957978,HARDEE,FL,27470,3996.1595724999975
2007,17957978,HENDRY,FL,38256,19191.32901208751
2007,17957978,HERNANDO,FL,160181,111241.4308961157
2007,17957978,HIGHLANDS,FL,95371,24466.187287940025
2007,17957978,HILLSBOROUGH,FL,1160120,1189548.9667853315
2007,17957978,HOLMES,FL,19516,5388.630639224995
2007,17957978,INDIAN RIVER,FL,130482,51702.13878888754
2007,17957978,JACKSON,FL,48867,11355.734547500013
2007,17957978,JEFFERSON,FL,14192,1732.0343370000003
2007,17957978,LAFAYETTE,FL,8314,1355.7724875000001
2007,17957978,LAKE,FL,271059,82180.02733157581
2007,17957978,LEE,FL,565398,295673.26356946747
2007,17957978,LEON,FL,264695,47083.40082031253
2007,17957978,LEVY,FL,38893,22313.80050372501
2007,17957978,LIBERTY,FL,7956,738.3230205000002
2007,17957978,MADISON,FL,19077,2632.5273742249997
2007,17957978,MANATEE,FL,305212,172443.21415869208
2007,17957978,MARION,FL,309574,140167.10838946432
2007,17957978,MARTIN,FL,140833,77097.8693673128
2007,17957978,MIAMI-DADE,FL,2424747,373495.8811988588
2007,17957978,MONROE,FL,75045,46281.924684224985
2007,17957978,NASSAU,FL,68607,30364.848846725017
2007,17957978,OKALOOSA,FL,177730,51948.68690433759
2007,17957978,OKEECHOBEE,FL,38760,24923.11014090003
2007,17957978,ORANGE,FL,1071004,305170.61644328275
2007,17957978,OSCEOLA,FL,239832,64095.23232798778
2007,17957978,PALM BEACH,FL,1263454,924515.0144846966
2007,17957978,PASCO,FL,428714,356094.00887001725
2007,17957978,PINELLAS,FL,918210,636336.2976674886
2007,17957978,POLK,FL,566635,170075.5240326901
2007,17957978,PUTNAM,FL,73183,39640.18058001255
2007,17957978,ST. JOHNS,FL,169997,49616.90935490009
2007,17957978,ST. LUCIE,FL,251885,112422.71420492567
2007,17957978,SANTA ROSA,FL,141286,51318.02323173009
2007,17957978,SARASOTA,FL,363403,242670.38616229242
2007,17957978,SEMINOLE,FL,405530,185430.98862421451
2007,17957978,SUMTER,FL,81393,16784.182853000028
2007,17957978,SUWANNEE,FL,39550,11324.528017850014
2007,17957978,TAYLOR,FL,21577,6762.137541362494
2007,17957978,UNION,FL,14905,2777.340379399999
2007,17957978,VOLUSIA,FL,479232,195477.55301975217
2007,17957978,WAKULLA,FL,28408,7575.903873499998
2007,17957978,WALTON,FL,50697,24799.00105896502
2007,17957978,WASHINGTON,FL,23719,9660.023178300005
2008,18240179,ALACHUA,FL,241460,114675.22192176315
2008,18240179,BAKER,FL,26143,15651.32215422501
2008,18240179,BAY,FL,164734,65665.01292126295
2008,18240179,BRADFORD,FL,28032,17501.063683500026
2008,18240179,BREVARD,FL,529955,317947.5992637904
2008,18240179,BROWARD,FL,1723110,2180537.4886392895
2008,18240179,CALHOUN,FL,14298,2225.156549999999
2008,18240179,CHARLOTTE,FL,156292,142308.39840052585
2008,18240179,CITRUS,FL,136602,71761.41768466281
2008,18240179,CLAY,FL,180852,98532.92591601308
2008,18240179,COLLIER,FL,307500,147472.34738600106
2008,18240179,COLUMBIA,FL,65301,37731.01713781254
2008,18240179,DESOTO,FL,34332,7953.604365000002
2008,18240179,DIXIE,FL,15886,3247.3897649999994
2008,18240179,DUVAL,FL,847192,408809.25508610735
2008,18240179,ESCAMBIA,FL,296975,116136.84399338838
2008,18240179,FLAGLER,FL,86522,30727.470412450057
2008,18240179,FRANKLIN,FL,11203,2152.9779473625
2008,18240179,GADSDEN,FL,47201,6724.820623499995
2008,18240179,GILCHRIST,FL,16437,4955.842199999998
2008,18240179,GLADES,FL,12411,0.0
2008,18240179,GULF,FL,15596,3573.714214999998
2008,18240179,HAMILTON,FL,14505,3039.9917909999995
2008,18240179,HARDEE,FL,27558,4647.926044499996
2008,18240179,HENDRY,FL,38552,20998.036911000014
2008,18240179,HERNANDO,FL,164379,197158.7753677134
2008,18240179,HIGHLANDS,FL,96511,28613.962263500045
2008,18240179,HILLSBOROUGH,FL,1183138,1507903.618625773
2008,18240179,HOLMES,FL,19652,5350.438789587494
2008,18240179,INDIAN RIVER,FL,132997,64186.802972625184
2008,18240179,JACKSON,FL,49165,12130.103321500013
2008,18240179,JEFFERSON,FL,14380,2123.4259035
2008,18240179,LAFAYETTE,FL,8499,1361.09275
2008,18240179,LAKE,FL,279722,103711.04927070081
2008,18240179,LEE,FL,583182,340668.92952729267
2008,18240179,LEON,FL,268293,51120.2500932626
2008,18240179,LEVY,FL,39528,28379.512612900024
2008,18240179,LIBERTY,FL,8091,771.9740625
2008,18240179,MADISON,FL,19128,2793.881285362499
2008,18240179,MANATEE,FL,311100,196741.84314975183
2008,18240179,MARION,FL,316817,160020.95087336405
2008,18240179,MARTIN,FL,142841,99157.77964272536
2008,18240179,MIAMI-DADE,FL,2449169,519536.8065603959
2008,18240179,MONROE,FL,74394,53446.096214362544
2008,18240179,NASSAU,FL,70173,38339.252757000046
2008,18240179,OKALOOSA,FL,178760,53881.85670031267
2008,18240179,OKEECHOBEE,FL,39173,29189.020214925018
2008,18240179,ORANGE,FL,1095987,483055.0875378097
2008,18240179,OSCEOLA,FL,249448,93117.01540626302
2008,18240179,PALM BEACH,FL,1282349,1334354.383170287
2008,18240179,PASCO,FL,440709,494709.0844496185
2008,18240179,PINELLAS,FL,917740,933646.5695688062
2008,18240179,POLK,FL,578456,171113.17612785212
2008,18240179,PUTNAM,FL,73578,45305.65105376259
2008,18240179,ST. JOHNS,FL,176677,56641.758213537716
2008,18240179,ST. LUCIE,FL,260343,139178.02248922575
2008,18240179,SANTA ROSA,FL,144648,57690.95086171268
2008,18240179,SARASOTA,FL,368746,324196.6680051903
2008,18240179,SEMINOLE,FL,411256,256465.7715015653
2008,18240179,SUMTER,FL,85401,21509.172271725038
2008,18240179,SUWANNEE,FL,40217,12980.800460675013
2008,18240179,TAYLOR,FL,21909,8597.878620000003
2008,18240179,UNION,FL,15116,3458.1646933499987
2008,18240179,VOLUSIA,FL,484353,275349.33692035254
2008,18240179,WAKULLA,FL,29201,8114.921953500003
2008,18240179,WALTON,FL,52145,24625.18568233754
2008,18240179,WASHINGTON,FL,24111,11461.812004125011
2009,18522380,ALACHUA,FL,244397,141281.0481854258
2009,18522380,BAKER,FL,26629,19165.967295000013
2009,18522380,BAY,FL,166792,68131.16719293797
2009,18522380,BRADFORD,FL,28274,21250.94966681253
2009,18522380,BREVARD,FL,536662,365366.2497193523
2009,18522380,BROWARD,FL,1735627,2584508.1140166502
2009,18522380,CALHOUN,FL,14460,2580.235469999998
2009,18522380,CHARLOTTE,FL,158126,191565.34862748848
2009,18522380,CITRUS,FL,138914,81649.55125245031
2009,18522380,CLAY,FL,185860,125011.36716611318
2009,18522380,COLLIER,FL,314511,202995.6962676763
2009,18522380,COLUMBIA,FL,66412,40150.096770225085
2009,18522380,DESOTO,FL,34598,9826.920240000007
2009,18522380,DIXIE,FL,16152,2874.6690413624992
2009,18522380,DUVAL,FL,855729,534398.118650822
2009,18522380,ESCAMBIA,FL,297295,127790.39184472602
2009,18522380,FLAGLER,FL,91110,45094.20611726259
2009,18522380,FRANKLIN,FL,11375,1955.3521199999998
2009,18522380,GADSDEN,FL,47474,7168.381856812496
2009,18522380,GILCHRIST,FL,16688,6117.871991362497
2009,18522380,GLADES,FL,12646,2627.3112
2009,18522380,GULF,FL,15727,3494.6217074999986
2009,18522380,HAMILTON,FL,14653,2305.1553524999995
2009,18522380,HARDEE,FL,27646,7751.6213925
2009,18522380,HENDRY,FL,38848,22472.576881575013
2009,18522380,HERNANDO,FL,168577,245050.01594726378
2009,18522380,HIGHLANDS,FL,97651,33721.288500675044
2009,18522380,HILLSBOROUGH,FL,1206156,2124149.030850971
2009,18522380,HOLMES,FL,19788,5461.291740449994
2009,18522380,INDIAN RIVER,FL,135512,79226.0771193004
2009,18522380,JACKSON,FL,49463,13341.58683750002
2009,18522380,JEFFERSON,FL,14568,2413.2784838625
2009,18522380,LAFAYETTE,FL,8684,1257.662175
2009,18522380,LAKE,FL,288385,140752.49857087637
2009,18522380,LEE,FL,600966,439929.9309884682
2009,18522380,LEON,FL,271891,55928.52241912518
2009,18522380,LEVY,FL,40163,33730.54989090004
2009,18522380,LIBERTY,FL,8226,686.3628
2009,18522380,MADISON,FL,19179,3389.4532243124972
2009,18522380,MANATEE,FL,316988,228282.89993021404
2009,18522380,MARION,FL,324060,177998.0980790639
2009,18522380,MARTIN,FL,144849,121781.25651090054
2009,18522380,MIAMI-DADE,FL,2473591,801945.1460798702
